4．データカタログ項目定義仕様,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"①
項目No","②
クラス名称","③
プロパティ名称","④
見出し","⑤
定義","⑥
値域","⑦
使い方","⑧
出現回数","⑨
サンプル値",,"⑩実装における
変数名
（CKAN）","⑪値域

（CKAN）","⑫列挙型
区分
(CKAN)","⑬出現回数

(CKAN)","⑭複数値
記載許可
(CKAN)","⑮入力必須
項目
（CKAN）",,,,,,,,,,
21030,dcat:Distribution,dct:issued,配信の開始日（自動設定）,この配信でデータセットの提供を始めた日付である。カタログシステムが自動で設定。,xsd:dateTime,"この配信を開始した日付をW3C XML Schemaのデータ型、xsd:dateTimeの形式の文字列（ISO8601の日付と時間に準拠した文字列）を用いて記載する。
このプロパティには、この配信を最初に提供した日付を記載する。",0..1,2020-03-13T00:00:00,,resources:created,text,－,0..1,No,自動,,,,,,,,,,
21040,dcat:Distribution,sipx:resourceIssued,配信の発行日,この配信でデータセットの提供を始めた日付である。,rdfs:Literal,この配信を最初に提供した日付をW3C XML Schemaのデータ型、xsd:dateもしくはxsd:dateTimeの形式の文字列（ISO8601の日付と時間に準拠した文字列）を用いて記載する。,0..1,2020-03-13T00:00:00,,resources:issued,text,－,0..1,No,任意,,,,,,,,,,
21050,dcat:Distribution,dct:modified,配信の最終変更日（自動設定）,この配信を最後に更新・修正した日付である。,xsd:dateTime,この配信に関する最後の変更行った日付をW3C XML Schemaのデータ型、xsd:dateTimeの形式の文字列（ISO8601の日付と時間に準拠した文字列）を用いて記載する。 配信を改定した際、カタログシステム更新時に自動登録する。,0..1,2020-03-13T00:00:00,,resources:last_modified,text,－,0..1,No,自動,,,,,,,,,,
21060,dcat:Distribution,sipx:resourceModified,配信の変更日,この配信を最後に更新・修正した日付である。,rdfs:Literal,この配信を最初に提供した日付をW3C XML Schemaのデータ型、xsd:dateもしくはxsd:dateTimeの形式の文字列（ISO8601の日付と時間に準拠した文字列）を用いて記載する。,0..1,2020-03-14T00:00:00,,resources:modified,text,－,0..1,No,任意,,,,,,,,,,
21070,dcat:Distribution,sipx:licenseTitle,配信のライセンス,データセット配信を受けるためのライセンス,rdfs:Literal,この配信に適用されるライセンスについて、著名ライセンスの一般表記を指定する場合に記載する。,0..1,CC BY 4.0,,resources:license_title,text,列挙値,0..1,No,任意,,,,,,,,,,
21080,dcat:Distribution,dct:license,配信のライセンス（URL）,データセット配信を受けるためのライセンス,dct:LicenseDocument,"・この配信に適用されるライセンスについて、クリエイティブ・コモンズなどのよく知られたライセンスが適用できる場合は、それを識別するURIをプロパティの値として記載することを推奨する。
・独自に定めるライセンス文書のURIをプロパティの値として記載することもできる。
・適用されるライセンスがない場合、配信に関する権利表明を記載するか、データ利用条件部に利用条件を記載することもできる。",0..1,https://creativecommons.org/licenses/by/4.0/,,resources:license_url,url,列挙値,0..1,No,任意,,,,,,,,,,
21090,dcat:Distribution,dct:rights,配信の利用規約,配信の権利表明,dct:RightsStatement,この配信に関する権利表明として、Web上で権利表明を公開するページのURLをプロパティの値として記載する、もしくは、権利表明の内容を表す文字列をプロパティの値として記載する。,0..1,https://www.shinnihon.example.jp/terms/,,extras:rights,url,－,0..1,No,任意,,,,,,,,,,
21100,dcat:Distribution,dcat:accessURL,配信の情報提供ページURL,この配信により提供されるデータセットを取得するときにアクセスするページを示すURLである。,rdfs:Resource,この配信に関する情報として、提供されるデータセットの入手方法等が示された説明ページのURLを記載する。ダウンロードによる直接入手が可能な場合は、「ダウンロードURL」に記載すること。配信が、データセットの説明ページからのみアクセス可能である場合は、データセットの説明ページのURLを配信クラスのプロパティaccessURLの値として持つべきである[SHOULD]。,1..n,https://www.shinnihon.example.jp/dataset/t132292d0000000002,,resources:url,url,－,1..1,No,必須,,,,,,,,,,
21110,dcat:Distribution,sipx:resourceAccessURL,配信のアクセスURL,データセットを配信するアクセスURL,URL,配信が、データセットの説明ページからのみアクセス可能である場合は、データセットの説明ページのURLを配信クラスのプロパティaccessURLの値として持つべきである。,0..1,https://www.shinnihon.example.jp/dataset/t132292d0000000002,,resources:access_url,url,－,1..1,No,必須,,,,,,,,,,
21120,dcat:Distribution,dcat:downloadURL,配信のダウンロードURL,この配信により提供されるデータセットをファイルとしてダウンロードする際にアクセスするURLである。,rdfs:Resource,この配信で提供されるデータセットをファイルとしてダウンロード可能な場合に、そのURLを記載する。,0..n,http://www.shinnihon.example.jp/opendata/132292_public_facility.csv,,resources:download_url,url,－,0..1,No,任意,,,,,,,,,,
